chr	start	end	strand	gene_id	gene_name	gene_biotype
IV	79294	80412	-	YDL211C	YDL211C	protein_coding
IV	83548	83618	+	tG(GCC)D1	tG(GCC)D1	tRNA
IV	84270	85985	+	YDL210W	YDL210W	protein_coding
IV	86207	87226	-	YDL209C	CWC2	protein_coding
IV	87512	87982	+	YDL208W	YDL208W	protein_coding
IV	88248	89864	+	YDL207W	GLE1	protein_coding
IV	90176	92464	+	YDL206W	YDL206W	protein_coding
IV	92762	93745	-	YDL205C	HEM3	protein_coding
IV	94605	95786	+	YDL204W	YDL204W	protein_coding
IV	96082	97953	-	YDL203C	YDL203C	protein_coding
IV	98475	99224	+	YDL202W	MRPL11	protein_coding
IV	99561	100421	+	YDL201W	YDL201W	protein_coding
IV	100501	101067	-	YDL200C	MGT1	protein_coding
IV	101290	103353	-	YDL199C	YDL199C	protein_coding
IV	103649	104551	-	YDL198C	GGC1	protein_coding
IV	104917	106494	-	YDL197C	YDL197C	protein_coding
IV	106741	107070	+	YDL196W	YDL196W	protein_coding
IV	107208	111029	+	YDL195W	SEC31	protein_coding
IV	111580	114234	+	YDL194W	YDL194W	protein_coding
IV	114672	115799	+	YDL193W	YDL193W	protein_coding
IV	116321	116866	+	YDL192W	YDL192W	protein_coding
IV	117664	118517	+	YDL191W	RPL35A	protein_coding
IV	118707	121592	-	YDL190C	YDL190C	protein_coding
IV	122216	123589	+	YDL189W	YDL189W	protein_coding
IV	123865	124998	-	YDL188C	PPH22	protein_coding
IV	125509	125838	-	YDL187C	YDL187C	protein_coding
IV	125616	126449	+	YDL186W	YDL186W	protein_coding
IV	126608	126835	-	YDL185C-A	YDL185C-A	protein_coding
IV	126787	130002	+	YDL185W	VMA1	protein_coding
IV	130407	130484	-	YDL184C	RPL41A	protein_coding
IV	130871	131833	-	YDL183C	YDL183C	protein_coding
IV	133437	134723	+	YDL182W	YDL182W	protein_coding
IV	135179	135436	+	YDL181W	YDL181W	protein_coding
IV	135896	137539	+	YDL180W	YDL180W	protein_coding
IV	138291	139205	+	YDL179W	YDL179W	protein_coding
IV	139522	141114	+	YDL178W	DLD2	protein_coding
IV	141209	141721	-	YDL177C	YDL177C	protein_coding
IV	142097	144223	+	YDL176W	YDL176W	protein_coding
IV	144484	145518	-	YDL175C	YDL175C	protein_coding
IV	145826	147589	-	YDL174C	YDL174C	protein_coding
IV	148191	149078	+	YDL173W	YDL173W	protein_coding
IV	148607	149086	-	YDL172C	YDL172C	protein_coding
IV	149203	155640	-	YDL171C	YDL171C	protein_coding
IV	156318	157904	+	YDL170W	YDL170W	protein_coding
IV	158064	158735	-	YDL169C	YDL169C	protein_coding
IV	159604	160764	+	YDL168W	SFA1	protein_coding
IV	160995	163154	-	YDL167C	YDL167C	protein_coding
IV	163449	164042	-	YDL166C	YDL166C	protein_coding
IV	164290	164865	+	YDL165W	CDC36	protein_coding
IV	164987	167254	-	YDL164C	CDC9	protein_coding
IV	166956	167258	+	YDL163W	YDL163W	protein_coding
IV	167359	167715	-	YDL162C	YDL162C	protein_coding
IV	167714	169078	+	YDL161W	YDL161W	protein_coding
IV	169366	169608	-	YDL160C-A	YDL160C-A	protein_coding
IV	170410	171930	-	YDL160C	YDL160C	protein_coding
IV	172182	172313	+	YDL159W-A	YDL159W-A	protein_coding
IV	172481	174028	+	YDL159W	YDL159W	protein_coding
IV	173056	173232	-	YDL159C-B	YDL159C-B	protein_coding
IV	173866	174174	-	YDL158C	YDL158C	protein_coding
IV	174232	174588	-	YDL157C	YDL157C	protein_coding
IV	174918	176486	+	YDL156W	YDL156W	protein_coding
IV	176773	178056	+	YDL155W	YDL155W	protein_coding
IV	178334	181039	+	YDL154W	YDL154W	protein_coding
IV	181186	183018	-	YDL153C	SAS10	protein_coding
IV	182822	183187	+	YDL152W	YDL152W	protein_coding
IV	183318	183899	-	YDL151C	YDL151C	protein_coding
IV	183343	184611	+	YDL150W	RPC53	protein_coding
IV	184925	187918	+	YDL149W	ATG9	protein_coding
IV	188154	190586	-	YDL148C	NOP14	protein_coding
IV	190924	192261	+	YDL147W	RPN5	protein_coding
IV	192750	194225	+	YDL146W	YDL146W	protein_coding
IV	194571	198176	-	YDL145C	COP1	protein_coding
IV	198662	199732	-	YDL144C	YDL144C	protein_coding
IV	199996	201582	+	YDL143W	CCT4	protein_coding
IV	201719	202570	-	YDL142C	CRD1	protein_coding
IV	203039	205111	+	YDL141W	BPL1	protein_coding
IV	205360	210561	-	YDL140C	RPO21	protein_coding
IV	211375	212046	-	YDL139C	YDL139C	protein_coding
IV	213351	215642	+	YDL138W	YDL138W	protein_coding
IV	216529	217074	+	YDL137W	YDL137W	protein_coding
IV	217600	218367	+	YDL136W	RPL35B	protein_coding
IV	218680	219288	-	YDL135C	YDL135C	protein_coding
IV	219662	220771	-	YDL134C	PPH21	protein_coding
IV	221724	221801	-	YDL133C-A	RPL41B	protein_coding
IV	222427	223740	+	YDL133W	YDL133W	protein_coding
IV	224304	226751	+	YDL132W	YDL132W	protein_coding
IV	227393	228715	+	YDL131W	YDL131W	protein_coding
IV	229171	229431	+	YDL130W-A	STF1	protein_coding
IV	229906	230527	+	YDL130W	RPP1B	protein_coding
IV	231024	231899	+	YDL129W	YDL129W	protein_coding
IV	232652	233887	+	YDL128W	VCX1	protein_coding
IV	234927	235853	+	YDL127W	PCL2	protein_coding
IV	236157	238664	-	YDL126C	YDL126C	protein_coding
IV	239019	239606	-	YDL125C	YDL125C	protein_coding
IV	240259	241197	+	YDL124W	YDL124W	protein_coding
IV	241418	241840	+	YDL123W	YDL123W	protein_coding
IV	242552	244981	+	YDL122W	YDL122W	protein_coding
IV	245133	245582	-	YDL121C	YDL121C	protein_coding
IV	245923	246447	+	YDL120W	YDL120W	protein_coding
IV	246689	247612	-	YDL119C	YDL119C	protein_coding
IV	247302	247682	+	YDL118W	YDL118W	protein_coding
IV	248581	251238	+	YDL117W	YDL117W	protein_coding
IV	251566	253746	+	YDL116W	YDL116W	protein_coding
IV	253995	255126	-	YDL115C	YDL115C	protein_coding
IV	254935	255048	+	YDL114W-A	YDL114W-A	protein_coding
IV	255604	256530	+	YDL114W	YDL114W	protein_coding
IV	256633	258555	-	YDL113C	ATG20	protein_coding
IV	258915	263225	+	YDL112W	YDL112W	protein_coding
IV	263313	264110	-	YDL111C	YDL111C	protein_coding
IV	264512	264964	-	YDL110C	YDL110C	protein_coding
IV	265258	267201	-	YDL109C	YDL109C	protein_coding
IV	267698	268699	+	YDL108W	YDL108W	protein_coding
IV	268921	269976	+	YDL107W	YDL107W	protein_coding
IV	270222	271901	-	YDL106C	PHO2	protein_coding
IV	272389	273597	+	YDL105W	NSE4	protein_coding
IV	273653	274876	-	YDL104C	YDL104C	protein_coding
IV	275148	276581	-	YDL103C	QRI1	protein_coding
IV	276872	280165	+	YDL102W	POL3	protein_coding
IV	280307	281848	-	YDL101C	YDL101C	protein_coding
IV	282112	283176	-	YDL100C	GET3	protein_coding
IV	283419	284444	+	YDL099W	YDL099W	protein_coding
IV	284581	285165	-	YDL098C	YDL098C	protein_coding
IV	285391	286695	-	YDL097C	RPN6	protein_coding
IV	286998	287324	-	YDL096C	YDL096C	protein_coding
IV	287059	289512	+	YDL095W	YDL095W	protein_coding
IV	289572	290081	-	YDL094C	YDL094C	protein_coding
IV	289909	292140	+	YDL093W	YDL093W	protein_coding
IV	292781	293221	+	YDL092W	YDL092W	protein_coding
IV	293392	294759	-	YDL091C	YDL091C	protein_coding
IV	295034	296329	-	YDL090C	RAM1	protein_coding
IV	296820	298274	+	YDL089W	YDL089W	protein_coding
IV	298417	300003	-	YDL088C	ASM4	protein_coding
IV	300214	300999	-	YDL087C	LUC7	protein_coding
IV	301413	302234	+	YDL086W	YDL086W	protein_coding
IV	301655	302089	-	YDL086C-A	YDL086C-A	protein_coding
IV	302464	302670	-	YDL085C-A	YDL085C-A	protein_coding
IV	303211	304848	+	YDL085W	NDE2	protein_coding
IV	305237	306577	+	YDL084W	YDL084W	protein_coding
IV	306926	307789	-	YDL083C	RPS16B	protein_coding
IV	308424	309388	+	YDL082W	RPL13A	protein_coding
IV	309802	310122	-	YDL081C	RPP1A	protein_coding
IV	310642	312471	-	YDL080C	THI3	protein_coding
IV	312951	314748	-	YDL079C	YDL079C	protein_coding
IV	315357	316388	-	YDL078C	YDL078C	protein_coding
IV	316971	320120	-	YDL077C	VAM6	protein_coding
IV	320668	321552	-	YDL076C	YDL076C	protein_coding
IV	322226	322988	+	YDL075W	RPL31A	protein_coding
IV	323217	323471	-	snR63	snR63	snoRNA
IV	324047	326149	-	YDL074C	YDL074C	protein_coding
IV	326613	329567	+	YDL073W	YDL073W	protein_coding
IV	329836	330447	-	YDL072C	YDL072C	protein_coding
IV	330666	331040	-	YDL071C	YDL071C	protein_coding
IV	331024	332940	+	YDL070W	YDL070W	protein_coding
IV	333121	333810	-	YDL069C	YDL069C	protein_coding
IV	333500	333829	+	YDL068W	YDL068W	protein_coding
IV	334217	334396	-	YDL067C	YDL067C	protein_coding
IV	334835	336121	+	YDL066W	YDL066W	protein_coding
IV	336249	337277	-	YDL065C	PEX19	protein_coding
IV	337487	338070	+	YDL064W	YDL064W	protein_coding
IV	338272	340134	-	YDL063C	YDL063C	protein_coding
IV	339857	340282	+	YDL062W	YDL062W	protein_coding
IV	340628	340798	-	YDL061C	RPS29B	protein_coding
IV	341619	343985	+	YDL060W	YDL060W	protein_coding
IV	344237	344953	-	YDL059C	YDL059C	protein_coding
IV	345665	351037	+	YDL058W	USO1	protein_coding
IV	351434	352420	+	YDL057W	YDL057W	protein_coding
IV	352877	355378	+	YDL056W	YDL056W	protein_coding
IV	355674	356759	-	YDL055C	PSA1	protein_coding
IV	359577	359672	+	tK(UUU)D	tK(UUU)D	tRNA
IV	359825	361285	-	YDL054C	YDL054C	protein_coding
IV	361699	362256	-	YDL053C	YDL053C	protein_coding
IV	362672	363583	-	YDL052C	YDL052C	protein_coding
IV	363952	364779	+	YDL051W	LHP1	protein_coding
IV	364446	364817	-	YDL050C	YDL050C	protein_coding
IV	365068	365874	-	YDL049C	YDL049C	protein_coding
IV	366739	368211	-	YDL048C	YDL048C	protein_coding
IV	369771	370706	+	YDL047W	YDL047W	protein_coding
IV	371240	371761	+	YDL046W	YDL046W	protein_coding
IV	372248	372535	+	YDL045W-A	MRP10	protein_coding
IV	372688	373608	-	YDL045C	YDL045C	protein_coding
IV	373967	375289	-	YDL044C	MTF2	protein_coding
IV	375680	376480	-	YDL043C	PRP11	protein_coding
IV	376757	378445	-	YDL042C	SIR2	protein_coding
IV	378102	378455	+	YDL041W	YDL041W	protein_coding
IV	378874	381438	-	YDL040C	NAT1	protein_coding
IV	381985	384081	-	YDL039C	PRM7	protein_coding
IV	384601	385587	-	YDL037C	YDL037C	protein_coding
IV	387513	388901	-	YDL036C	YDL036C	protein_coding
IV	389172	392057	-	YDL035C	YDL035C	protein_coding
IV	391783	392127	+	YDL034W	YDL034W	protein_coding
IV	392659	393912	-	YDL033C	SLM3	protein_coding
IV	393690	394001	+	YDL032W	YDL032W	protein_coding
IV	394217	397204	+	YDL031W	YDL031W	protein_coding
IV	397537	399129	+	YDL030W	YDL030W	protein_coding
IV	399340	400638	+	YDL029W	ARP2	protein_coding
IV	400997	403291	-	YDL028C	MPS1	protein_coding
IV	403695	404957	-	YDL027C	YDL027C	protein_coding
IV	404749	405060	+	YDL026W	YDL026W	protein_coding
IV	405344	407206	-	YDL025C	YDL025C	protein_coding
IV	405410	405514	+	YDL025W-A	YDL025W-A	protein_coding
IV	408451	409857	-	YDL024C	YDL024C	protein_coding
IV	409808	410056	-	YDL022C-A	YDL022C-A	protein_coding
IV	410379	410451	+	tA(AGC)D	tA(AGC)D	tRNA
IV	411761	412081	-	YDL023C	YDL023C	protein_coding
IV	411825	413000	+	YDL022W	GPD1	protein_coding
IV	413953	414888	+	YDL021W	YDL021W	protein_coding
IV	415113	416708	-	YDL020C	RPN4	protein_coding
IV	417663	421514	-	YDL019C	YDL019C	protein_coding
IV	422833	423510	-	YDL018C	YDL018C	protein_coding
IV	424209	425732	+	YDL017W	CDC7	protein_coding
IV	425570	425872	-	YDL016C	YDL016C	protein_coding
IV	426002	426934	-	YDL015C	YDL015C	protein_coding
IV	427364	428347	+	YDL014W	NOP1	protein_coding
IV	429067	430926	+	YDL013W	SLX5	protein_coding
IV	431108	431517	-	YDL012C	YDL012C	protein_coding
IV	432308	432631	-	YDL011C	YDL011C	protein_coding
IV	432330	433025	+	YDL010W	YDL010W	protein_coding
IV	432925	433248	-	YDL009C	YDL009C	protein_coding
IV	433497	433994	+	YDL008W	YDL008W	protein_coding
IV	434264	434336	-	tT(AGU)D	tT(AGU)D	tRNA
IV	436567	436824	-	YDL007C-A	YDL007C-A	protein_coding
IV	437772	437853	+	tS(AGA)D1	tS(AGA)D1	tRNA
IV	438047	439360	+	YDL007W	RPT2	protein_coding
IV	439909	440754	+	YDL006W	PTC1	protein_coding
IV	441014	442309	-	YDL005C	YDL005C	protein_coding
IV	443029	443511	+	YDL004W	YDL004W	protein_coding
IV	444683	446383	+	YDL003W	MCD1	protein_coding
IV	446967	447578	-	YDL002C	NHP10	protein_coding
IV	447984	449276	+	YDL001W	YDL001W	protein_coding
IV	450220	452475	-	YDR001C	YDR001C	protein_coding
IV	453045	453650	+	YDR002W	YRB1	protein_coding
IV	454122	454754	+	YDR003W	RCR2	protein_coding
IV	454782	454904	+	YDR003W-A	YDR003W-A	protein_coding
IV	455201	456583	+	YDR004W	YDR004W	protein_coding
IV	456836	458103	-	YDR005C	YDR005C	protein_coding
IV	458542	461247	-	YDR006C	YDR006C	protein_coding
IV	461842	462516	+	YDR007W	YDR007W	protein_coding
IV	462252	462602	-	YDR008C	YDR008C	protein_coding
IV	463434	464996	+	YDR009W	YDR009W	protein_coding
IV	465051	465383	-	YDR010C	YDR010C	protein_coding
IV	465919	470424	+	YDR011W	YDR011W	protein_coding
IV	471853	472941	+	YDR012W	RPL4B	protein_coding
IV	473157	473783	+	YDR013W	PSF1	protein_coding
IV	474046	475989	+	YDR014W	RAD61	protein_coding
IV	477797	478285	+	YDR014W-A	YDR014W-A	protein_coding
IV	477960	478199	-	YDR015C	YDR015C	protein_coding
IV	478474	478758	-	YDR016C	YDR016C	protein_coding
IV	479115	482267	-	YDR017C	YDR017C	protein_coding
IV	482670	483860	-	YDR018C	YDR018C	protein_coding
IV	484163	485365	-	YDR019C	GCV1	protein_coding
IV	485746	486444	-	YDR020C	DAS2	protein_coding
IV	486804	488003	+	YDR021W	YDR021W	protein_coding
IV	488072	488662	-	YDR022C	CIS1	protein_coding
IV	488797	488870	-	tV(UAC)D	tV(UAC)D	tRNA
IV	489508	490896	+	YDR023W	SES1	protein_coding
IV	491017	491502	+	YDR024W	YDR024W	protein_coding
IV	491515	492324	+	YDR025W	RPS11A	protein_coding
IV	492556	494268	-	YDR026C	YDR026C	protein_coding
IV	494649	497318	-	YDR027C	VPS54	protein_coding
IV	497835	500879	-	YDR028C	REG1	protein_coding
IV	501100	501414	+	YDR029W	YDR029W	protein_coding
IV	501753	503273	-	YDR030C	YDR030C	protein_coding
IV	503498	503863	+	YDR031W	YDR031W	protein_coding
IV	504099	504695	-	YDR032C	YDR032C	protein_coding
IV	508147	509109	+	YDR033W	YDR033W	protein_coding
IV	509737	512109	-	YDR034C	YDR034C	protein_coding
IV	519743	519826	+	tL(UAA)D	tL(UAA)D	tRNA
IV	520516	520692	-	YDR034C-A	YDR034C-A	protein_coding
IV	520972	521043	+	tQ(UUG)D1	tQ(UUG)D1	tRNA
IV	521314	521469	+	YDR034W-B	YDR034W-B	protein_coding
IV	521816	522928	+	YDR035W	YDR035W	protein_coding
IV	523211	524713	-	YDR036C	EHD3	protein_coding
IV	525440	527215	+	YDR037W	KRS1	protein_coding
IV	527422	530697	-	YDR038C	YDR038C	protein_coding
IV	531307	534582	-	YDR039C	YDR039C	protein_coding
IV	535192	538467	-	YDR040C	ENA1	protein_coding
IV	539803	540414	+	YDR041W	YDR041W	protein_coding
IV	540601	541203	-	YDR042C	YDR042C	protein_coding
IV	541602	541700	-	snR47	snR47	snoRNA
IV	542674	543369	-	YDR043C	YDR043C	protein_coding
IV	546642	547628	+	YDR044W	YDR044W	protein_coding
IV	547978	548310	-	YDR045C	RPC11	protein_coding
IV	548762	550576	-	YDR046C	BAP3	protein_coding
IV	551860	552948	+	YDR047W	HEM12	protein_coding
IV	553084	553398	-	YDR048C	YDR048C	protein_coding
IV	553254	555152	+	YDR049W	YDR049W	protein_coding
IV	555726	556472	-	YDR050C	YDR050C	protein_coding
IV	557056	558060	-	YDR051C	YDR051C	protein_coding
IV	558511	560625	-	YDR052C	DBF4	protein_coding
IV	560249	560644	+	YDR053W	YDR053W	protein_coding
IV	561440	562327	-	YDR054C	CDC34	protein_coding
IV	563527	564861	+	YDR055W	PST1	protein_coding
IV	565023	565640	-	YDR056C	YDR056C	protein_coding
IV	565927	567555	+	YDR057W	YDR057W	protein_coding
IV	567723	568703	-	YDR058C	YDR058C	protein_coding
IV	568882	568953	+	tR(UCU)D	tR(UCU)D	tRNA
IV	568964	569035	+	tD(GUC)D	tD(GUC)D	tRNA
IV	569234	569770	-	YDR059C	YDR059C	protein_coding
IV	570649	573726	+	YDR060W	MAK21	protein_coding
IV	574164	575783	+	YDR061W	YDR061W	protein_coding
IV	576474	578159	+	YDR062W	LCB2	protein_coding
IV	578663	579112	+	YDR063W	AIM7	protein_coding
IV	579458	580452	+	YDR064W	RPS13	protein_coding
IV	580687	581784	+	YDR065W	YDR065W	protein_coding
IV	581908	582498	-	YDR066C	YDR066C	protein_coding
IV	582791	583465	-	YDR067C	YDR067C	protein_coding
IV	583713	584645	+	YDR068W	YDR068W	protein_coding
IV	584939	587719	-	YDR069C	DOA4	protein_coding
IV	588098	588379	-	YDR070C	YDR070C	protein_coding
IV	588827	589402	-	YDR071C	YDR071C	protein_coding
IV	589761	591344	-	YDR072C	IPT1	protein_coding
IV	592439	592948	+	YDR073W	YDR073W	protein_coding
IV	593893	596583	+	YDR074W	TPS2	protein_coding
IV	597156	598082	+	YDR075W	YDR075W	protein_coding
IV	598468	599688	+	YDR076W	YDR076W	protein_coding
IV	600793	601809	+	YDR077W	YDR077W	protein_coding
IV	602198	602869	-	YDR078C	YDR078C	protein_coding
IV	603064	603399	+	YDR079W	YDR079W	protein_coding
IV	603593	603811	-	YDR079C-A	YDR079C-A	protein_coding
IV	604008	606986	+	YDR080W	VPS41	protein_coding
IV	607304	610081	-	YDR081C	YDR081C	protein_coding
IV	610441	611925	+	YDR082W	YDR082W	protein_coding
IV	612073	613251	+	YDR083W	YDR083W	protein_coding
IV	613405	614004	-	YDR084C	YDR084C	protein_coding
IV	614288	616150	-	YDR085C	YDR085C	protein_coding
IV	616928	617170	-	YDR086C	YDR086C	protein_coding
IV	617470	618306	-	YDR087C	YDR087C	protein_coding
IV	618497	619645	-	YDR088C	SLU7	protein_coding
IV	619969	620041	-	tR(ACG)D	tR(ACG)D	tRNA
IV	622112	624721	+	YDR089W	YDR089W	protein_coding
IV	625066	625998	-	YDR090C	YDR090C	protein_coding
IV	626708	628534	-	YDR091C	YDR091C	protein_coding
IV	629876	630605	+	YDR092W	YDR092W	protein_coding
IV	631282	636120	+	YDR093W	YDR093W	protein_coding
IV	635840	636175	+	YDR094W	YDR094W	protein_coding
IV	636117	636527	-	YDR095C	YDR095C	protein_coding
IV	637139	639823	+	YDR096W	YDR096W	protein_coding
IV	640109	643837	-	YDR097C	MSH6	protein_coding
IV	644178	644930	-	YDR098C	YDR098C	protein_coding
IV	645153	645224	-	tQ(UUG)D2	tQ(UUG)D2	tRNA
IV	653607	654428	+	YDR099W	BMH2	protein_coding
IV	655013	655444	+	YDR100W	YDR100W	protein_coding
IV	655686	657467	-	YDR101C	YDR101C	protein_coding
IV	657648	657980	-	YDR102C	YDR102C	protein_coding
IV	658350	661103	+	YDR103W	STE5	protein_coding
IV	661173	664910	-	YDR104C	YDR104C	protein_coding
IV	665349	666770	-	YDR105C	YDR105C	protein_coding
IV	667004	667858	+	YDR106W	YDR106W	protein_coding
IV	668007	668080	-	tI(AAU)D	tI(AAU)D	tRNA
IV	669016	671034	-	YDR107C	YDR107C	protein_coding
IV	671269	673365	+	YDR108W	TRS85	protein_coding
IV	673520	675667	-	YDR109C	YDR109C	protein_coding
IV	676102	677802	+	YDR110W	FOB1	protein_coding
IV	678241	679764	-	YDR111C	YDR111C	protein_coding
IV	679544	679852	+	YDR112W	YDR112W	protein_coding
IV	680496	681617	-	YDR113C	YDR113C	protein_coding
IV	681924	682226	-	YDR114C	YDR114C	protein_coding
IV	682175	682492	+	YDR115W	YDR115W	protein_coding
IV	682724	683581	-	YDR116C	YDR116C	protein_coding
IV	683946	685643	-	YDR117C	TMA64	protein_coding
IV	685882	687840	+	YDR118W	YDR118W	protein_coding
IV	687768	687884	+	YDR118W-A	YDR118W-A	protein_coding
IV	688227	690533	+	YDR119W	YDR119W	protein_coding
IV	691014	691214	+	YDR119W-A	YDR119W-A	protein_coding
IV	691549	693261	-	YDR120C	YDR120C	protein_coding
IV	693585	694175	+	YDR121W	YDR121W	protein_coding
IV	694700	697894	+	YDR122W	YDR122W	protein_coding
IV	698554	699468	-	YDR123C	INO2	protein_coding
IV	700315	701289	+	YDR124W	YDR124W	protein_coding
IV	701397	702758	-	YDR125C	YDR125C	protein_coding
IV	703234	704244	+	YDR126W	SWF1	protein_coding
IV	704484	709250	+	YDR127W	YDR127W	protein_coding
IV	709549	712995	+	YDR128W	MTC5	protein_coding
IV	713340	715379	-	YDR129C	SAC6	protein_coding
IV	715747	716622	-	YDR130C	YDR130C	protein_coding
IV	716790	718460	-	YDR131C	YDR131C	protein_coding
IV	718816	720303	-	YDR132C	YDR132C	protein_coding
IV	720962	721297	-	YDR133C	YDR133C	protein_coding
IV	723004	727551	-	YDR135C	YDR135C	protein_coding
IV	727711	728283	-	YDR136C	YDR136C	protein_coding
IV	728259	730250	+	YDR137W	YDR137W	protein_coding
IV	730578	732836	+	YDR138W	HPR1	protein_coding
IV	733618	733924	-	YDR139C	YDR139C	protein_coding
IV	734138	734803	+	YDR140W	YDR140W	protein_coding
IV	734901	739997	-	YDR141C	YDR141C	protein_coding
IV	740473	741600	-	YDR142C	PEX7	protein_coding
IV	742042	743874	-	YDR143C	YDR143C	protein_coding
IV	744311	746101	-	YDR144C	MKC7	protein_coding
IV	746738	748357	+	YDR145W	TAF12	protein_coding
IV	748613	750742	-	YDR146C	YDR146C	protein_coding
IV	751631	753235	+	YDR147W	YDR147W	protein_coding
IV	753675	755066	-	YDR148C	YDR148C	protein_coding
IV	755555	756262	-	YDR149C	YDR149C	protein_coding
IV	755628	763874	+	YDR150W	NUM1	protein_coding
IV	764178	765155	-	YDR151C	YDR151C	protein_coding
IV	765706	766503	+	YDR152W	YDR152W	protein_coding
IV	766736	767971	-	YDR153C	YDR153C	protein_coding
IV	768403	768753	-	YDR154C	YDR154C	protein_coding
IV	768512	769000	-	YDR155C	CPR1	protein_coding
IV	769525	769938	+	YDR156W	RPA14	protein_coding
IV	769931	770332	+	YDR157W	YDR157W	protein_coding
IV	770357	771454	+	YDR158W	YDR158W	protein_coding
IV	771877	775782	+	YDR159W	SAC3	protein_coding
IV	776163	778721	+	YDR160W	SSY1	protein_coding
IV	779043	780206	+	YDR161W	YDR161W	protein_coding
IV	780390	781100	-	YDR162C	YDR162C	protein_coding
IV	781423	781950	+	YDR163W	YDR163W	protein_coding
IV	782041	784215	-	YDR164C	YDR164C	protein_coding
IV	784871	786205	+	YDR165W	YDR165W	protein_coding
IV	786306	789221	-	YDR166C	YDR166C	protein_coding
IV	789449	790069	+	YDR167W	TAF10	protein_coding
IV	790328	791848	+	YDR168W	CDC37	protein_coding
IV	792348	793889	-	YDR169C	YDR169C	protein_coding
IV	794574	794723	-	YDR169C-A	YDR169C-A	protein_coding
IV	796193	802222	-	YDR170C	YDR170C	protein_coding
IV	802731	802802	-	tQ(UUG)D3	tQ(UUG)D3	tRNA
IV	806621	807748	+	YDR171W	YDR171W	protein_coding
IV	808324	810381	+	YDR172W	SUP35	protein_coding
IV	810565	811632	-	YDR173C	ARG82	protein_coding
IV	812110	812850	+	YDR174W	HMO1	protein_coding
IV	813193	814152	-	YDR175C	YDR175C	protein_coding
IV	814452	816560	+	YDR176W	NGG1	protein_coding
IV	816878	817525	+	YDR177W	YDR177W	protein_coding
IV	817950	818495	+	YDR178W	SDH4	protein_coding
IV	818708	819196	-	YDR179C	YDR179C	protein_coding
IV	819433	820824	+	YDR179W-A	YDR179W-A	protein_coding
IV	821295	825776	+	YDR180W	YDR180W	protein_coding
IV	825910	827355	-	YDR181C	YDR181C	protein_coding
IV	827582	829057	+	YDR182W	CDC1	protein_coding
IV	829151	829354	+	YDR182W-A	YDR182W-A	protein_coding
IV	829585	830277	+	YDR183W	YDR183W	protein_coding
IV	830397	830654	-	YDR183C-A	YDR183C-A	protein_coding
IV	830629	831513	-	YDR184C	ATC1	protein_coding
IV	831934	832473	-	YDR185C	UPS3	protein_coding
IV	832859	835492	-	YDR186C	YDR186C	protein_coding
IV	836228	836746	-	YDR187C	YDR187C	protein_coding
IV	836421	838061	+	YDR188W	CCT6	protein_coding
IV	838392	840392	+	YDR189W	YDR189W	protein_coding
IV	840604	841995	-	YDR190C	RVB1	protein_coding
IV	842337	843449	+	YDR191W	YDR191W	protein_coding
